#time 	tag	 type*	 value
2		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
1200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
1500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
1800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
2100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
2400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
2700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
3000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
3300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
3600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
3900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
4200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
4500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
