OpenDSS Value (p.u.),Bus
0.9996569365471181,p4ulv3
1.0002364211919685,p4udm4
1.0046746194123906,p4udm5
1.0047619514609014,p4ulv32
1.0072730869138926,p4ulv16
1.0083707181232338,p4udt2lv
1.0112852753168446,p4udt14lv
1.011686205966602,p4ulv36
1.0121751914250001,p4ulv11
1.0123662924941805,p4ulv19
1.0130877977685833,p4udm14
1.0131485791031762,p4ulv35
1.0132232022225536,p4udt1lv
1.0133631402809549,p4udt26lv
1.0139698177115655,p4ulv2
1.014009564041754,p4udt17lv
1.0158680910375917,p4ulv9
1.0159932723793126,p4udt8lv
1.0166934511380397,p4ulv31
1.0169696149643799,p4ulv8
1.0171342556619498,p4udt23lv
1.0177270761706503,p4udm13
1.0181959334295672,p4ulv12
1.0182622343926537,p4udt1
1.0182643518713768,p4udt1-p4udt17x
1.0182689049006428,p4udt17
1.018468546308754,p4udt17-p4udt2x
1.0184736548828683,p4udt2
1.0203071860608919,p4udt10lv
1.0207856418712296,p4ulv13
1.0209535140936294,p4udt11lv
1.0214037267638079,p4udt14
1.0214290238133865,p4udt11-p4udt14xxx
1.0216144280054378,p4udt7lv
1.0217400302136954,p4ulv1
1.0226990163677796,p4udm0
1.02283230703334,p4udt13lv
1.0239247857799347,p4udt2-p4udt26x_b2_1
1.0239412868157851,p4udt2-p4udt26x_b1_1
1.023948405506672,p4udt12lv
1.0240576186054975,p4udt11-p4udt14xx
1.0240759631179712,p4udt10
1.0244321134494072,p4udt10-p4udt23x
1.0244321175065665,p4udt10-p4udt23xx
1.0244697896407107,p4udt23
1.0245407851098336,p4udt2-p4udt26x
1.0245541714542774,p4udt23-p4udt26x
1.0245572863251218,p4udt26
1.0250885882311305,p4udt11-p4udt14x
1.0251139065807209,p4udt11
1.0251567470472431,p4udt23-p4udt7xx
1.0251567472284984,p4udt23-p4udt7x
1.025190757737599,p4udt7
1.0251907652833558,p4udt13-p4udt7xx
1.0253217913723798,p4udt13-p4udt7x
1.0253217989242518,p4udt13
1.0253674073559496,p4ulv15
1.0255139231644514,p4udt0lv
1.0263507641456975,p4udt0-p4udt11xx
1.026448091517312,p4udt12-p4udt26x
1.0264720987386218,p4udt12
1.0273269922481507,p4udt12-p4udt8x
1.0273484529530736,p4udt8
1.028535163151991,p4udt0-p4udt8x
1.028535163404664,p4udt0-p4udt11x
1.0285351890261185,p4udt0
1.0299995035595675,p4udt0-p4uhs0_4x
1.057715161519372,p4ulv14
1.070127146256261,p4udm1
1.0816744396987437,p4ulv29
